ID,Gender,Marital status,Age,Education,Income,Occupation,Settlement size
100000897,female,married,28,high school,144448,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000898,female,married,35,high school,150797,skilled employee / official,small city
100000899,female,married,33,high school,84404,unemployed/ unskilled,small city
100000900,male,single,42,high school,133373,skilled employee / official,big city
100000901,male,single,43,high school,119502,skilled employee / official,big city
100000902,male,married,44,university,131619,skilled employee / official,small city
100000903,male,single,42,high school,194084,skilled employee / official,big city
100000904,male,married,40,high school,108278,skilled employee / official,mid-sized city
100000905,male,single,36,high school,130987,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000906,male,single,20,other / unknown,116582,management/ self employed/ highly qualified employee/ officer,big city
100000907,male,single,24,other / unknown,85270,unemployed/ unskilled,small city
100000908,male,married,27,high school,129227,skilled employee / official,small city
100000909,female,married,46,university,108291,unemployed/ unskilled,small city
100000910,female,married,33,high school,103091,unemployed/ unskilled,small city
100000911,female,married,34,high school,136975,skilled employee / official,mid-sized city
100000912,female,married,25,high school,111502,unemployed/ unskilled,small city
100000913,female,married,25,high school,124750,skilled employee / official,mid-sized city
100000914,male,married,28,high school,146463,skilled employee / official,big city
100000915,male,single,31,other / unknown,115075,skilled employee / official,small city
100000916,female,married,32,high school,308491,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000917,male,single,32,other / unknown,126368,skilled employee / official,small city
100000918,male,single,68,university,287247,management/ self employed/ highly qualified employee/ officer,big city
100000919,male,married,33,high school,125535,skilled employee / official,big city
100000920,male,single,39,high school,153223,management/ self employed/ highly qualified employee/ officer,big city
100000921,female,married,28,high school,106873,skilled employee / official,mid-sized city
100000922,male,single,37,high school,268906,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000923,female,married,22,high school,97757,skilled employee / official,big city
100000924,male,single,30,other / unknown,112151,skilled employee / official,mid-sized city
100000925,male,married,55,university,172909,skilled employee / official,small city
100000926,male,single,46,high school,103387,skilled employee / official,mid-sized city
100000927,female,married,21,high school,93916,skilled employee / official,big city
100000928,male,single,39,high school,189963,skilled employee / official,big city
100000929,male,single,58,university,124191,skilled employee / official,small city
100000930,male,single,43,high school,77205,unemployed/ unskilled,small city
100000931,male,single,24,other / unknown,65917,unemployed/ unskilled,small city
100000932,female,married,22,high school,109676,skilled employee / official,small city
100000933,male,single,30,other / unknown,95682,skilled employee / official,big city
100000934,male,single,42,high school,125516,skilled employee / official,big city
100000935,female,married,23,high school,99822,skilled employee / official,small city
100000936,male,single,30,other / unknown,154854,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000937,female,married,28,high school,84582,unemployed/ unskilled,small city
100000938,male,married,30,high school,145800,management/ self employed/ highly qualified employee/ officer,small city
100000939,male,single,42,high school,162869,skilled employee / official,mid-sized city
100000940,male,single,46,high school,192379,management/ self employed/ highly qualified employee/ officer,big city
100000941,male,single,45,high school,159757,management/ self employed/ highly qualified employee/ officer,big city
100000942,male,single,31,other / unknown,69571,unemployed/ unskilled,small city
100000943,male,single,31,other / unknown,93648,skilled employee / official,big city
100000944,male,single,42,high school,77472,unemployed/ unskilled,small city
100000945,female,married,46,university,121501,skilled employee / official,small city
100000946,female,married,30,high school,207262,skilled employee / official,small city
100000947,male,single,30,other / unknown,143082,skilled employee / official,big city
100000948,male,single,38,high school,147760,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000949,male,married,43,university,82082,unemployed/ unskilled,small city
100000950,male,single,31,other / unknown,132991,skilled employee / official,mid-sized city
100000951,male,married,40,high school,78436,unemployed/ unskilled,small city
100000952,male,single,24,other / unknown,99737,skilled employee / official,big city
100000953,female,married,28,high school,164915,skilled employee / official,small city
100000954,female,married,26,high school,223185,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000955,female,married,29,high school,108400,skilled employee / official,big city
100000956,female,married,57,university,194882,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000957,male,single,49,high school,122186,unemployed/ unskilled,small city
100000958,male,single,37,high school,79594,unemployed/ unskilled,small city
100000959,male,single,45,high school,104355,unemployed/ unskilled,small city
100000960,male,single,30,other / unknown,135894,skilled employee / official,big city
100000961,male,married,30,high school,103699,skilled employee / official,mid-sized city
100000962,male,married,47,university,132145,skilled employee / official,mid-sized city
100000963,male,single,29,other / unknown,117272,skilled employee / official,big city
100000964,male,single,35,high school,137932,skilled employee / official,small city
100000965,male,married,22,high school,63972,unemployed/ unskilled,small city
100000966,female,married,26,high school,113299,skilled employee / official,big city
100000967,male,single,23,other / unknown,108540,unemployed/ unskilled,small city
100000968,female,married,54,university,174424,management/ self employed/ highly qualified employee/ officer,big city
100000969,male,married,29,high school,154991,skilled employee / official,big city
100000970,male,single,40,high school,99723,unemployed/ unskilled,small city
100000971,male,single,22,other / unknown,114584,skilled employee / official,big city
100000972,male,single,43,high school,135275,unemployed/ unskilled,small city
100000973,female,married,29,high school,41680,unemployed/ unskilled,small city
100000974,male,single,36,high school,158769,skilled employee / official,mid-sized city
100000975,female,married,33,high school,120596,skilled employee / official,small city
100000976,female,married,57,university,139641,unemployed/ unskilled,small city
100000977,female,married,64,graduate school,134377,skilled employee / official,small city
100000978,male,single,42,high school,125804,skilled employee / official,big city
100000979,male,single,47,high school,91858,unemployed/ unskilled,small city
100000980,male,married,25,high school,117641,skilled employee / official,big city
100000981,male,single,49,high school,188594,skilled employee / official,mid-sized city
100000982,male,single,33,high school,162827,management/ self employed/ highly qualified employee/ officer,big city
100000983,female,married,28,high school,178991,management/ self employed/ highly qualified employee/ officer,big city
100000984,male,single,26,other / unknown,159739,skilled employee / official,mid-sized city
100000985,male,single,30,other / unknown,73401,unemployed/ unskilled,small city
100000986,female,married,25,high school,100794,skilled employee / official,big city
100000987,male,married,33,high school,167763,skilled employee / official,mid-sized city
100000988,female,married,64,graduate school,145174,skilled employee / official,small city
100000989,male,single,29,other / unknown,176292,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000990,male,single,48,high school,94024,unemployed/ unskilled,small city
100000991,male,single,37,high school,93740,unemployed/ unskilled,small city
100000992,male,single,34,high school,85685,unemployed/ unskilled,small city
100000993,male,married,23,high school,69997,unemployed/ unskilled,small city
100000994,male,single,30,other / unknown,151938,management/ self employed/ highly qualified employee/ officer,big city
100000995,male,single,50,high school,122830,skilled employee / official,mid-sized city
100000996,female,married,31,high school,78489,unemployed/ unskilled,small city
100000997,male,married,40,high school,161999,management/ self employed/ highly qualified employee/ officer,mid-sized city
100000998,male,single,38,high school,98032,skilled employee / official,big city
100000999,male,single,23,other / unknown,96060,skilled employee / official,small city
100001000,male,single,27,other / unknown,147968,skilled employee / official,mid-sized city
100001001,female,married,63,university,134853,skilled employee / official,mid-sized city
100001002,male,single,66,university,157576,management/ self employed/ highly qualified employee/ officer,big city
100001003,male,married,43,university,203738,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001004,male,married,44,university,280570,management/ self employed/ highly qualified employee/ officer,big city
100001005,male,married,65,graduate school,69487,unemployed/ unskilled,big city
100001006,female,married,73,graduate school,214126,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001007,male,single,60,university,136671,skilled employee / official,mid-sized city
100001008,male,married,62,university,174337,skilled employee / official,mid-sized city
100001009,female,married,58,university,126710,skilled employee / official,mid-sized city
100001010,female,married,43,university,167139,management/ self employed/ highly qualified employee/ officer,big city
100001011,male,single,64,university,122094,skilled employee / official,big city
100001012,male,married,37,graduate school,170113,management/ self employed/ highly qualified employee/ officer,big city
100001013,female,married,46,university,192698,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001014,male,married,57,university,144197,skilled employee / official,big city
100001015,male,married,51,university,133623,skilled employee / official,mid-sized city
100001016,female,married,32,graduate school,171052,management/ self employed/ highly qualified employee/ officer,big city
100001017,male,single,64,university,130492,skilled employee / official,big city
100001018,male,single,68,university,135705,skilled employee / official,mid-sized city
100001019,female,married,55,university,171804,management/ self employed/ highly qualified employee/ officer,big city
100001020,male,single,73,university,192167,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001021,female,married,34,graduate school,134377,skilled employee / official,big city
100001022,male,married,44,university,146716,skilled employee / official,mid-sized city
100001023,male,single,58,university,267872,skilled employee / official,mid-sized city
100001024,female,married,65,university,142193,unemployed/ unskilled,mid-sized city
100001025,female,married,56,university,183765,skilled employee / official,mid-sized city
100001026,female,married,42,university,218664,management/ self employed/ highly qualified employee/ officer,big city
100001027,female,married,65,graduate school,145174,skilled employee / official,big city
100001028,male,single,72,university,224961,management/ self employed/ highly qualified employee/ officer,big city
100001029,female,married,45,university,262634,management/ self employed/ highly qualified employee/ officer,big city
100001030,male,single,68,university,287106,management/ self employed/ highly qualified employee/ officer,big city
100001031,male,single,60,university,166298,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001032,female,married,30,graduate school,133328,unemployed/ unskilled,big city
100001033,male,single,63,university,129798,skilled employee / official,mid-sized city
100001034,male,single,57,university,281084,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001035,female,married,46,university,160678,skilled employee / official,big city
100001036,female,married,70,graduate school,167532,skilled employee / official,mid-sized city
100001037,male,single,65,university,178591,skilled employee / official,big city
100001038,male,single,63,university,273063,management/ self employed/ highly qualified employee/ officer,big city
100001039,male,married,54,university,149410,skilled employee / official,big city
100001040,male,married,49,university,124658,skilled employee / official,big city
100001041,female,married,64,university,153645,skilled employee / official,big city
100001042,female,married,61,university,308529,management/ self employed/ highly qualified employee/ officer,big city
100001043,female,married,57,university,155062,skilled employee / official,big city
100001044,female,married,42,university,199654,skilled employee / official,big city
100001045,male,single,62,university,124723,skilled employee / official,big city
100001046,female,married,41,university,127752,skilled employee / official,big city
100001047,female,married,51,university,157595,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001048,female,married,38,university,135534,skilled employee / official,big city
100001049,female,married,56,university,166264,management/ self employed/ highly qualified employee/ officer,big city
100001050,female,married,43,university,147259,skilled employee / official,mid-sized city
100001051,female,married,48,university,161116,skilled employee / official,mid-sized city
100001052,male,single,61,university,139380,skilled employee / official,mid-sized city
100001053,male,married,48,university,213768,management/ self employed/ highly qualified employee/ officer,big city
100001054,male,single,68,university,125903,skilled employee / official,big city
100001055,female,married,62,university,163940,skilled employee / official,mid-sized city
100001056,female,married,56,university,173378,management/ self employed/ highly qualified employee/ officer,big city
100001057,female,married,53,university,126847,skilled employee / official,mid-sized city
100001058,male,married,33,graduate school,166712,skilled employee / official,big city
100001059,female,married,60,university,189166,skilled employee / official,mid-sized city
100001060,female,married,47,university,161714,skilled employee / official,mid-sized city
100001061,male,married,25,graduate school,214364,management/ self employed/ highly qualified employee/ officer,big city
100001062,male,single,64,university,184680,skilled employee / official,mid-sized city
100001063,male,single,73,university,214732,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001064,male,married,66,university,152527,skilled employee / official,mid-sized city
100001065,female,married,76,graduate school,170366,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001066,female,married,60,university,194532,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001067,female,married,57,university,125883,skilled employee / official,big city
100001068,male,married,30,graduate school,131242,skilled employee / official,big city
100001069,male,married,43,university,159880,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001070,male,single,57,university,165519,skilled employee / official,big city
100001071,male,married,51,university,149653,skilled employee / official,mid-sized city
100001072,female,married,61,university,134102,skilled employee / official,mid-sized city
100001073,male,single,64,university,159378,management/ self employed/ highly qualified employee/ officer,big city
100001074,male,married,41,university,205476,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001075,male,married,43,university,280566,management/ self employed/ highly qualified employee/ officer,big city
100001076,male,married,67,graduate school,71823,unemployed/ unskilled,big city
100001077,female,married,71,graduate school,211572,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001078,male,single,59,university,136123,skilled employee / official,mid-sized city
100001079,male,married,60,university,176372,skilled employee / official,mid-sized city
100001080,female,married,60,university,128271,skilled employee / official,mid-sized city
100001081,female,married,45,university,169020,management/ self employed/ highly qualified employee/ officer,big city
100001082,male,single,63,university,122267,skilled employee / official,big city
100001083,male,married,38,graduate school,169324,management/ self employed/ highly qualified employee/ officer,big city
100001084,female,married,46,university,192561,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001085,male,married,55,university,145781,skilled employee / official,big city
100001086,male,married,50,university,135376,skilled employee / official,mid-sized city
100001087,female,married,30,graduate school,169002,management/ self employed/ highly qualified employee/ officer,big city
100001088,male,single,63,university,128469,skilled employee / official,big city
100001089,male,single,67,university,135567,skilled employee / official,mid-sized city
100001090,female,married,54,university,170644,management/ self employed/ highly qualified employee/ officer,big city
100001091,male,single,71,university,192360,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001092,female,married,32,graduate school,133235,skilled employee / official,big city
100001093,female,married,45,university,260847,management/ self employed/ highly qualified employee/ officer,big city
100001094,male,single,65,university,285647,management/ self employed/ highly qualified employee/ officer,big city
100001095,male,single,62,university,164816,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001096,female,married,28,graduate school,130148,unemployed/ unskilled,big city
100001097,male,single,65,university,129838,skilled employee / official,mid-sized city
100001098,male,single,57,university,281647,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001099,female,married,48,university,157305,skilled employee / official,big city
100001100,female,married,71,graduate school,163654,skilled employee / official,mid-sized city
100001101,male,single,38,high school,82398,skilled employee / official,mid-sized city
100001102,male,married,40,high school,107710,skilled employee / official,mid-sized city
100001103,male,single,49,high school,122346,skilled employee / official,mid-sized city
100001104,male,married,32,high school,155540,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001105,male,single,45,high school,127572,skilled employee / official,mid-sized city
100001106,male,single,40,high school,154031,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001107,male,single,66,university,164931,management/ self employed/ highly qualified employee/ officer,big city
100001108,male,single,38,high school,123003,skilled employee / official,big city
100001109,male,married,20,high school,89605,skilled employee / official,mid-sized city
100001110,male,single,48,high school,117721,skilled employee / official,mid-sized city
100001111,male,married,46,university,168904,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001112,male,single,32,high school,137576,management/ self employed/ highly qualified employee/ officer,big city
100001113,male,single,54,high school,111274,skilled employee / official,mid-sized city
100001114,male,married,24,high school,94249,management/ self employed/ highly qualified employee/ officer,big city
100001115,male,married,27,high school,180940,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001116,male,single,57,high school,125032,skilled employee / official,big city
100001117,male,single,38,high school,138011,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001118,male,single,40,high school,144850,skilled employee / official,mid-sized city
100001119,male,married,20,high school,107270,skilled employee / official,big city
100001120,male,single,36,high school,113405,management/ self employed/ highly qualified employee/ officer,big city
100001121,male,single,47,high school,137338,skilled employee / official,big city
100001122,male,single,64,university,125119,unemployed/ unskilled,big city
100001123,male,single,42,high school,159745,management/ self employed/ highly qualified employee/ officer,big city
100001124,male,single,44,high school,181262,management/ self employed/ highly qualified employee/ officer,big city
100001125,male,married,30,high school,90500,management/ self employed/ highly qualified employee/ officer,big city
100001126,male,single,37,high school,102733,skilled employee / official,mid-sized city
100001127,male,single,42,high school,135493,skilled employee / official,big city
100001128,male,married,62,university,169044,skilled employee / official,mid-sized city
100001129,male,single,49,high school,178549,skilled employee / official,big city
100001130,male,single,52,high school,159716,skilled employee / official,big city
100001131,male,married,36,high school,170118,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001132,male,single,49,high school,143886,unemployed/ unskilled,mid-sized city
100001133,male,single,42,high school,130164,management/ self employed/ highly qualified employee/ officer,big city
100001134,male,single,38,high school,114476,skilled employee / official,mid-sized city
100001135,male,single,50,high school,126143,skilled employee / official,mid-sized city
100001136,male,married,34,high school,129654,management/ self employed/ highly qualified employee/ officer,big city
100001137,male,single,43,high school,123202,skilled employee / official,big city
100001138,male,single,40,high school,160524,skilled employee / official,mid-sized city
100001139,male,single,56,university,126906,skilled employee / official,mid-sized city
100001140,male,single,41,high school,143994,management/ self employed/ highly qualified employee/ officer,big city
100001141,male,married,30,high school,123517,management/ self employed/ highly qualified employee/ officer,big city
100001142,male,married,28,high school,129055,skilled employee / official,big city
100001143,male,single,64,university,136312,unemployed/ unskilled,big city
100001144,male,single,67,university,112486,skilled employee / official,big city
100001145,male,single,37,high school,152401,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001146,male,single,31,high school,157453,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001147,male,single,32,high school,142870,management/ self employed/ highly qualified employee/ officer,big city
100001148,male,married,52,university,137231,skilled employee / official,big city
100001149,male,married,31,high school,104406,skilled employee / official,mid-sized city
100001150,male,single,36,high school,145385,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001151,male,married,32,high school,146519,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001152,male,single,51,high school,126227,skilled employee / official,big city
100001153,male,single,47,high school,112227,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001154,male,married,34,high school,110145,skilled employee / official,big city
100001155,male,married,46,university,149419,skilled employee / official,mid-sized city
100001156,male,married,42,high school,176646,skilled employee / official,mid-sized city
100001157,male,single,39,high school,91019,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001158,male,single,50,high school,169579,skilled employee / official,big city
100001159,male,single,42,high school,142305,skilled employee / official,big city
100001160,male,married,36,high school,130602,skilled employee / official,mid-sized city
100001161,male,married,18,high school,98992,skilled employee / official,mid-sized city
100001162,male,single,35,high school,181926,management/ self employed/ highly qualified employee/ officer,big city
100001163,male,single,38,high school,152864,skilled employee / official,big city
100001164,male,single,39,high school,135837,management/ self employed/ highly qualified employee/ officer,big city
100001165,male,married,24,high school,121757,unemployed/ unskilled,big city
100001166,male,single,41,high school,182274,skilled employee / official,mid-sized city
100001167,male,single,36,high school,149040,management/ self employed/ highly qualified employee/ officer,big city
100001168,male,single,37,high school,154196,management/ self employed/ highly qualified employee/ officer,big city
100001169,male,married,45,university,135332,skilled employee / official,mid-sized city
100001170,male,single,41,high school,134200,management/ self employed/ highly qualified employee/ officer,big city
100001171,male,single,36,high school,177171,management/ self employed/ highly qualified employee/ officer,big city
100001172,male,single,38,high school,115964,unemployed/ unskilled,big city
100001173,male,single,38,high school,136871,unemployed/ unskilled,mid-sized city
100001174,male,married,53,university,159559,management/ self employed/ highly qualified employee/ officer,big city
100001175,male,single,35,high school,113878,skilled employee / official,big city
100001176,male,single,48,high school,171203,management/ self employed/ highly qualified employee/ officer,big city
100001177,male,single,36,high school,102180,skilled employee / official,big city
100001178,male,married,22,high school,116844,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001179,male,single,35,high school,139844,management/ self employed/ highly qualified employee/ officer,big city
100001180,male,single,42,high school,156431,unemployed/ unskilled,mid-sized city
100001181,male,single,39,high school,116137,unemployed/ unskilled,mid-sized city
100001182,male,single,31,high school,143081,skilled employee / official,mid-sized city
100001183,male,single,33,high school,155870,management/ self employed/ highly qualified employee/ officer,big city
100001184,male,married,31,high school,106924,unemployed/ unskilled,mid-sized city
100001185,male,single,42,high school,102133,skilled employee / official,mid-sized city
100001186,male,single,61,university,145227,unemployed/ unskilled,mid-sized city
100001187,male,single,38,high school,159500,management/ self employed/ highly qualified employee/ officer,big city
100001188,male,single,33,high school,98498,unemployed/ unskilled,mid-sized city
100001189,male,single,48,high school,159714,skilled employee / official,big city
100001190,male,single,31,high school,121852,unemployed/ unskilled,mid-sized city
100001191,male,single,52,high school,141271,management/ self employed/ highly qualified employee/ officer,big city
100001192,male,married,27,high school,123213,skilled employee / official,big city
100001193,male,single,40,high school,143723,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001194,male,single,34,high school,112538,unemployed/ unskilled,mid-sized city
100001195,male,married,26,high school,97932,management/ self employed/ highly qualified employee/ officer,big city
100001196,male,single,30,high school,154003,unemployed/ unskilled,mid-sized city
100001197,male,single,53,high school,177179,skilled employee / official,mid-sized city
100001198,male,single,45,high school,128052,skilled employee / official,big city
100001199,male,single,32,high school,114617,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001200,male,single,35,high school,182822,management/ self employed/ highly qualified employee/ officer,big city
100001201,male,married,26,high school,177215,skilled employee / official,big city
100001202,male,single,30,high school,110929,skilled employee / official,mid-sized city
100001203,male,single,37,high school,111821,skilled employee / official,mid-sized city
100001204,male,single,32,high school,97306,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001205,male,married,40,high school,157231,skilled employee / official,mid-sized city
100001206,male,single,44,high school,126906,unemployed/ unskilled,big city
100001207,male,single,43,high school,133243,skilled employee / official,big city
100001208,male,single,51,high school,112250,skilled employee / official,mid-sized city
100001209,male,single,37,high school,104349,unemployed/ unskilled,mid-sized city
100001210,male,single,33,high school,151421,skilled employee / official,big city
100001211,male,married,32,high school,178081,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001212,male,single,35,high school,110181,unemployed/ unskilled,big city
100001213,male,married,30,high school,113012,skilled employee / official,mid-sized city
100001214,male,married,35,high school,154585,management/ self employed/ highly qualified employee/ officer,big city
100001215,male,single,40,high school,144704,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001216,male,single,37,high school,141632,management/ self employed/ highly qualified employee/ officer,big city
100001217,male,single,37,high school,105055,skilled employee / official,big city
100001218,male,single,37,high school,124597,skilled employee / official,big city
100001219,male,single,53,high school,160164,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001220,male,single,34,high school,151754,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001221,male,single,51,high school,155551,skilled employee / official,mid-sized city
100001222,male,married,26,high school,94986,skilled employee / official,big city
100001223,male,single,34,high school,175800,unemployed/ unskilled,mid-sized city
100001224,male,single,51,high school,126246,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001225,male,single,33,high school,116261,skilled employee / official,big city
100001226,male,married,32,high school,117796,unemployed/ unskilled,big city
100001227,male,single,39,high school,115363,skilled employee / official,mid-sized city
100001228,male,single,53,high school,169076,skilled employee / official,mid-sized city
100001229,male,single,34,high school,97474,management/ self employed/ highly qualified employee/ officer,big city
100001230,male,single,37,high school,140341,skilled employee / official,big city
100001231,male,married,28,high school,114503,skilled employee / official,mid-sized city
100001232,male,married,25,high school,102937,skilled employee / official,big city
100001233,male,single,36,high school,151781,management/ self employed/ highly qualified employee/ officer,big city
100001234,male,married,36,high school,123133,skilled employee / official,big city
100001235,male,single,35,high school,118879,skilled employee / official,big city
100001236,male,married,21,high school,158683,skilled employee / official,mid-sized city
100001237,male,married,29,high school,107514,skilled employee / official,big city
100001238,male,single,60,university,193879,skilled employee / official,mid-sized city
100001239,male,single,45,high school,135043,skilled employee / official,mid-sized city
100001240,male,married,56,university,108559,unemployed/ unskilled,mid-sized city
100001241,male,married,30,high school,121038,skilled employee / official,big city
100001242,male,single,52,high school,151947,management/ self employed/ highly qualified employee/ officer,big city
100001243,male,married,26,high school,118820,skilled employee / official,mid-sized city
100001244,male,single,43,high school,121517,skilled employee / official,mid-sized city
100001245,male,single,34,high school,113572,skilled employee / official,mid-sized city
100001246,male,married,22,high school,131170,skilled employee / official,big city
100001247,male,single,42,high school,92430,unemployed/ unskilled,mid-sized city
100001248,male,single,38,high school,124554,unemployed/ unskilled,mid-sized city
100001249,male,married,29,high school,115988,skilled employee / official,big city
100001250,male,single,44,high school,107301,skilled employee / official,big city
100001251,male,married,29,high school,103767,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001252,male,single,44,high school,141493,skilled employee / official,big city
100001253,male,single,38,high school,154339,skilled employee / official,big city
100001254,male,married,26,high school,112369,unemployed/ unskilled,mid-sized city
100001255,male,single,53,high school,158193,skilled employee / official,mid-sized city
100001256,male,single,43,high school,143734,skilled employee / official,mid-sized city
100001257,male,single,33,high school,121890,skilled employee / official,mid-sized city
100001258,male,single,52,high school,127609,unemployed/ unskilled,mid-sized city
100001259,male,married,26,high school,94650,unemployed/ unskilled,big city
100001260,male,single,38,high school,175504,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001261,male,single,47,high school,165495,skilled employee / official,big city
100001262,male,married,26,high school,120389,skilled employee / official,mid-sized city
100001263,male,married,36,high school,165340,skilled employee / official,mid-sized city
100001264,male,single,36,high school,119804,skilled employee / official,mid-sized city
100001265,male,single,57,university,154344,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001266,male,married,31,high school,106266,management/ self employed/ highly qualified employee/ officer,big city
100001267,male,single,45,high school,136129,skilled employee / official,mid-sized city
100001268,male,single,40,high school,151914,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001269,male,married,21,high school,121473,skilled employee / official,mid-sized city
100001270,male,single,46,high school,127147,skilled employee / official,big city
100001271,male,single,35,high school,125387,skilled employee / official,big city
100001272,male,married,31,high school,139490,unemployed/ unskilled,big city
100001273,male,single,51,high school,124990,skilled employee / official,big city
100001274,male,married,21,high school,101471,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001275,male,single,48,high school,155708,skilled employee / official,mid-sized city
100001276,male,single,48,high school,142345,skilled employee / official,big city
100001277,male,single,68,university,148675,unemployed/ unskilled,mid-sized city
100001278,male,married,45,university,116484,skilled employee / official,big city
100001279,male,single,35,high school,150237,management/ self employed/ highly qualified employee/ officer,big city
100001280,male,married,22,high school,100273,skilled employee / official,big city
100001281,male,single,44,high school,122292,unemployed/ unskilled,mid-sized city
100001282,male,single,52,high school,159216,skilled employee / official,mid-sized city
100001283,male,single,48,high school,130082,skilled employee / official,big city
100001284,male,single,33,high school,139547,skilled employee / official,big city
100001285,male,married,35,high school,122895,skilled employee / official,mid-sized city
100001286,male,married,64,university,154549,skilled employee / official,mid-sized city
100001287,male,single,58,high school,149315,unemployed/ unskilled,big city
100001288,male,married,24,high school,118101,unemployed/ unskilled,big city
100001289,male,single,40,high school,115831,unemployed/ unskilled,big city
100001290,male,single,49,high school,118571,management/ self employed/ highly qualified employee/ officer,big city
100001291,male,single,31,high school,138906,skilled employee / official,big city
100001292,male,single,46,high school,98520,skilled employee / official,big city
100001293,male,single,46,high school,106576,skilled employee / official,mid-sized city
100001294,male,single,49,high school,121592,skilled employee / official,mid-sized city
100001295,male,single,29,high school,135605,unemployed/ unskilled,mid-sized city
100001296,male,single,37,high school,114552,skilled employee / official,big city
100001297,male,single,33,high school,151339,management/ self employed/ highly qualified employee/ officer,mid-sized city
100001298,male,single,71,university,170387,skilled employee / official,big city
100001299,male,single,35,high school,118288,skilled employee / official,big city
100001300,male,single,40,high school,109992,skilled employee / official,big city
100001301,female,single,27,high school,90654,unemployed/ unskilled,small city
100001302,female,single,61,university,113290,unemployed/ unskilled,small city
100001303,female,married,29,high school,100093,skilled employee / official,mid-sized city
100001304,female,single,33,high school,109489,skilled employee / official,small city
100001305,female,single,56,university,139427,unemployed/ unskilled,small city
100001306,female,married,27,high school,123411,skilled employee / official,mid-sized city
100001307,female,married,22,high school,137925,skilled employee / official,small city
100001308,female,married,19,high school,99119,skilled employee / official,small city
100001309,female,married,28,high school,91084,skilled employee / official,mid-sized city
100001310,female,married,24,high school,110137,skilled employee / official,mid-sized city
100001311,female,married,27,high school,67041,unemployed/ unskilled,small city
100001312,female,married,30,high school,127299,skilled employee / official,mid-sized city
100001313,female,single,26,high school,84555,unemployed/ unskilled,small city
100001314,female,married,26,high school,123895,skilled employee / official,small city
100001315,female,married,23,high school,94324,skilled employee / official,mid-sized city
100001316,female,married,28,high school,96062,skilled employee / official,small city
100001317,female,married,67,graduate school,144843,skilled employee / official,small city
100001318,female,married,27,high school,107485,skilled employee / official,mid-sized city
100001319,female,married,32,high school,98573,skilled employee / official,small city
100001320,female,single,24,high school,107462,unemployed/ unskilled,small city
100001321,female,married,28,high school,115809,skilled employee / official,mid-sized city
100001322,female,single,48,university,118749,unemployed/ unskilled,small city
100001323,female,married,32,high school,139112,skilled employee / official,mid-sized city
100001324,female,married,25,high school,94075,skilled employee / official,small city
